x	y
0.021	0.394
0.115	1.455
0.209	2.592
0.303	3.350
0.397	4.410
0.491	5.623
0.491	6.381
0.585	7.063
0.679	8.351
0.773	9.412
0.773	10.321
0.867	11.533
1.055	12.746
1.149	13.731
1.243	15.550
1.243	14.564
1.432	16.914
1.432	16.232
1.620	17.671
1.714	18.126
1.714	18.808
1.808	19.263
1.902	19.641
2.090	20.020
2.184	20.172
2.278	20.399
2.372	20.551
2.560	20.627
2.654	20.551
2.842	20.323
2.936	20.172
3.030	19.945
3.124	19.793
3.218	19.263
3.218	19.566
3.312	19.035
3.312	18.884
3.500	18.732
3.594	18.353
3.689	17.974
3.783	17.596
3.877	17.217
3.971	16.762
4.065	16.383
4.159	16.080
4.253	15.625
4.347	15.246
4.441	14.868
4.535	14.489
4.629	14.110
4.723	13.731
4.817	13.352
5.005	12.670
5.193	11.912
5.381	11.306
5.569	10.700
5.757	10.094
5.945	9.563
6.040	9.260
6.322	8.578
6.510	8.199
6.698	7.896
6.886	7.517
7.074	7.214
7.168	6.987
7.450	6.608
7.732	6.229
8.108	5.850
8.673	5.396
9.143	4.865
9.519	4.562
10.083	4.107
10.836	3.577
11.588	3.122
12.716	2.592
13.939	2.061
14.691	1.834
15.350	1.607
16.102	1.379
17.136	1.152
18.829	0.849
19.863	0.697
21.462	0.546
23.907	0.318
25.600	0.243
