x	y
0.258	0.066
0.523	0.082
0.523	0.086
0.656	0.090
1.054	0.102
1.320	0.106
1.585	0.111
1.850	0.116
2.248	0.120
2.779	0.121
3.177	0.119
3.443	0.116
3.575	0.114
3.708	0.108
4.106	0.101
4.371	0.095
4.637	0.091
5.167	0.080
5.565	0.073
5.831	0.068
5.964	0.064
6.229	0.059
6.627	0.053
7.025	0.050
7.821	0.043
8.485	0.039
9.148	0.035
9.811	0.032
10.607	0.028
11.404	0.026
12.200	0.023
13.526	0.019
14.721	0.016
15.782	0.014
17.772	0.011
19.630	0.008
20.559	0.007
23.080	0.004
25.070	0.003
