Fill BeamE StartT BluePolAvrg err BlueP0 err BluedPdT err YellowPAvrg err YellowP0 err YellowdPdT err
15111 250 1297107252 27.87 14.04 49.34 10.19 -9.36 3.59 53.52 7.28 54.77 3.68 -0.52 1.70
15126 250 1297248274 39.34 4.86 43.05 4.22 -2.93 2.02 47.13 4.10 45.92 3.43 1.15 1.64
15132 250 1297329649 46.56 3.50 46.37 3.50 -0.67 0.67 49.79 3.56 49.23 3.56 -0.88 0.63
15154 250 1297479997 43.90 4.08 45.24 3.44 -0.53 0.37 48.69 2.91 60.06 2.76 -2.32 0.27
15155 250 1297528610 50.78 4.14 49.03 3.40  0.40 0.65 51.26 2.81 52.50 2.51 -0.74 0.37
15160 250 1297570662 58.69 6.18 57.91 5.72  0.26 0.48 52.23 2.81 53.99 2.49 -0.76 0.32
15163 250 1297615328 54.95 3.66 54.73 3.66 -0.67 0.67 57.01 2.81 56.36 2.81 -0.88 0.63
15166 250 1297656440 48.09 6.66 53.73 5.59 -0.39 1.54 50.02 6.97 46.71 5.76  0.36 1.66
15167 250 1297675014 56.31 3.64 56.31 3.64 -0.67 0.67 57.50 2.98 56.84 2.98 -0.88 0.63
15170 250 1297753361 51.16 3.79 53.97 3.26 -0.69 0.49 52.95 2.72 54.83 2.43 -0.77 0.30
15171 250 1297787122 39.06 4.03 38.90 4.03 -0.67 0.67 50.25 2.58 49.68 2.58 -0.88 0.63
15172 250 1297794621 52.50 3.21 53.46 2.66  0.22 0.35 51.05 2.68 48.63 2.23  0.33 0.28
15173 250 1297835118 51.55 4.07 51.51 3.40  0.17 0.73 52.91 3.31 54.99 2.76 -0.44 0.61
15182 250 1297951109 61.70 8.25 61.45 8.25 -0.67 0.67 58.41 4.25 57.75 4.25 -0.88 0.63
15190 250 1297994256 50.40 4.03 62.21 3.52 -1.54 0.39 59.25 3.60 61.77 3.04 -0.37 0.33
15194 250 1298072994 91.12 24.47 0.00 24.47 -0.67 0.67 0 0 0 0 0 0 
15196 250 1298092010 56.79 4.17 59.66 3.56 -0.53 0.45 53.86 3.42 55.67 2.93 -0.53 0.38
15200 250 1298177329 55.95 3.83 55.73 3.83 -0.67 0.67 57.98 3.27 57.32 3.27 -0.88 0.63
15202 250 1298202824 55.54 4.46 61.48 3.76 -1.23 0.53 51.77 3.68 58.19 3.13  0.04 0.39
15205 250 1298243261 56.70 4.18 60.45 3.71 -3.11 1.11 58.62 2.68 60.27 2.37 -1.73 0.68
15207 250 1298287275 50.52 4.14 55.40 3.49 -0.92 0.40 50.10 2.63 51.20 2.21 -0.61 0.25
15208 250 1298331224 55.39 3.78 56.46 3.78 -0.67 0.67 57.73 2.50 59.65 2.50 -0.88 0.63
15210 250 1298348748 50.23 4.49 56.58 3.91 -2.76 1.05 54.75 3.21 58.00 2.77 -2.90 0.74
15213 250 1298377543 55.07 4.52 59.61 3.61 -0.71 0.54 57.41 2.68 54.03 2.13  0.06 0.30
15216 250 1298428166 39.03 4.76 35.44 4.76 -0.67 0.67 50.49 2.38 48.32 2.38 -0.88 0.63
15217 250 1298439027 55.60 2.95 54.35 2.43  0.14 0.44 57.03 2.14 58.37 1.75 -0.60 0.33
15221 250 1298513620 56.31 1.37 56.31 1.37 -0.67 0.67 60.50 1.14 60.50 1.14 -0.88 0.63
15223 250 1298531271 48.16 3.32 50.27 2.56 -1.73 0.89 58.17 3.25 61.46 2.49 -1.92 0.86
15232 250 1298607970 41.28 3.33 39.91 3.33 -0.67 0.67 65.77 2.98 66.13 2.98 -0.88 0.63
15233 250 1298615599 52.55 4.75 62.20 3.33 -4.34 1.59 56.56 3.45 60.99 2.17 -2.31 1.13
15239 250 1298697440 44.26 4.40 55.05 3.64 -3.63 1.02 57.76 3.13 60.90 2.61 -0.84 0.59
